Operator,Bitwidth,Frequency_MHz,clock_period,Converters,Slack_ns,LUTs,Registers,DSPs,BRAMs,SRLs,max_latency,Real_Required_Clock_Period_ns
Multiplier,32,300,3.33333333333333333333,noIO,0.458,0,153,1,0,0,2,2.87533333333333333333
Multiplier,32,800,1.25000000000000000000,noIO,-0.784,0,447,1,0,137,26,2.03400000000000000000
Adder,64,100,10.00000000000000000000,noIO,0.932,0,198,0,0,0,2,9.06800000000000000000
Multiplier,64,300,3.33333333333333333333,noIO,-0.909,0,510,6,0,2,3,4.24233333333333333333
Divider,64,800,1.25000000000000000000,noIO,-3.095,0,8588,0,0,264,63,4.34500000000000000000
Multiplier,64,800,1.25000000000000000000,noIO,-0.796,0,1190,6,0,352,56,2.04600000000000000000
Multiplier,64,500,2.00000000000000000000,noIO,-0.758,0,897,6,0,19,6,2.75800000000000000000
Adder,32,800,1.25000000000000000000,noIO,-1.548,0,635,0,0,154,36,2.79800000000000000000
Multiplier,32,500,2.00000000000000000000,noIO,-0.783,0,224,1,0,2,4,2.78300000000000000000
Divider,32,300,3.33333333333333333333,noIO,-3.296,0,610,0,0,36,9,6.62933333333333333333
Adder,32,500,2.00000000000000000000,noIO,-0.922,0,354,0,0,35,10,2.92200000000000000000
Adder,64,800,1.25000000000000000000,noIO,-2.032,0,1316,0,0,329,59,3.28200000000000000000
Divider,32,800,1.25000000000000000000,noIO,-2.652,0,1671,0,0,51,27,3.90200000000000000000
Divider,32,500,2.00000000000000000000,noIO,-1.812,0,1088,0,0,44,15,3.81200000000000000000
Adder,32,300,3.33333333333333333333,noIO,-0.316,0,255,0,0,20,6,3.64933333333333333333
Divider,64,500,2.00000000000000000000,noIO,-2.398,0,5115,0,0,111,36,4.39800000000000000000
Divider,64,300,3.33333333333333333333,noIO,-3.526,0,2798,0,0,87,20,6.85933333333333333333
Divider,64,100,10.00000000000000000000,noIO,-6.008,0,983,0,0,60,6,16.00800000000000000000
Divider,32,100,10.00000000000000000000,noIO,-4.152,0,215,0,0,0,2,14.15200000000000000000
Adder,32,100,10.00000000000000000000,noIO,0.932,0,198,0,0,0,1,9.06800000000000000000
Adder,64,500,2.00000000000000000000,noIO,-0.705,0,868,0,0,72,12,2.70500000000000000000
Adder,64,300,3.33333333333333333333,noIO,-1.758,0,554,0,0,39,7,5.09133333333333333333
