Operator,Bitwidth,Frequency_MHz, clock_period, Converters,Slack_ns,LUTs,Registers,DSPs,BRAMs,SRLs,Real_Required_Clock_Period_ns
Multiplier,32,300, 3.33333333333333333333, noIO,0.458,0,153,1,0,0,2.87533
Multiplier,32,800, 1.25000000000000000000, noIO,-0.784,0,447,1,0,137,2.034
Adder,64,100, 10.00000000000000000000, noIO,0.932,0,198,0,0,0,9.068
Multiplier,64,300, 3.33333333333333333333, noIO,-0.909,0,510,6,0,2,4.24233
Divider,64,800, 1.25000000000000000000, noIO,-3.095,0,8588,0,0,264,4.345
Multiplier,64,800, 1.25000000000000000000, noIO,-0.796,0,1190,6,0,352,2.046
Multiplier,64,500, 2.00000000000000000000, noIO,-0.758,0,897,6,0,19,2.758
Adder,32,800, 1.25000000000000000000, noIO,-1.548,0,635,0,0,154,2.798
Multiplier,32,500, 2.00000000000000000000, noIO,-0.783,0,224,1,0,2,2.783
Divider,32,300, 3.33333333333333333333, noIO,-3.296,0,610,0,0,36,6.62933
Adder,32,500, 2.00000000000000000000, noIO,-0.922,0,354,0,0,35,2.922
Adder,64,800, 1.25000000000000000000, noIO,-2.032,0,1316,0,0,329,3.282
Divider,32,800, 1.25000000000000000000, noIO,-2.652,0,1671,0,0,51,3.902
Divider,32,500, 2.00000000000000000000, noIO,-1.812,0,1088,0,0,44,3.812
Adder,32,300, 3.33333333333333333333, noIO,-0.316,0,255,0,0,20,3.64933
Divider,64,500, 2.00000000000000000000, noIO,-2.398,0,5115,0,0,111,4.398
Divider,64,300, 3.33333333333333333333, noIO,-3.526,0,2798,0,0,87,6.85933
Divider,64,100, 10.00000000000000000000, noIO,-6.008,0,983,0,0,60,16.008
Divider,32,100, 10.00000000000000000000, noIO,-4.152,0,215,0,0,0,14.152
Adder,32,100, 10.00000000000000000000, noIO,0.932,0,198,0,0,0,9.068
Adder,64,500, 2.00000000000000000000, noIO,-0.705,0,868,0,0,72,2.705
Adder,64,300, 3.33333333333333333333, noIO,-1.758,0,554,0,0,39,5.09133
