+====================+===================+====================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                |
+====================+===================+====================================================+
| clk                | clk               | operator/fracAdder/X_3_c10_reg[1]_srl9_srlopt/D    |
| clk                | clk               | operator/fracAdder/X_3_c10_reg[0]_srl9_srlopt/D    |
| clk                | clk               | operator/newY_c2_reg[5]/D                          |
| clk                | clk               | operator/fracAdder/X_9_c16_reg[0]_srl15_srlopt/D   |
| clk                | clk               | operator/expX_c2_reg[0]/D                          |
| clk                | clk               | operator/fracAdder/X_8_c15_reg[0]_srl14_srlopt/D   |
| clk                | clk               | operator/newY_c2_reg[22]/D                         |
| clk                | clk               | operator/expX_c2_reg[7]/D                          |
| clk                | clk               | operator/newY_c2_reg[19]/D                         |
| clk                | clk               | operator/expX_c2_reg[4]/D                          |
| clk                | clk               | operator/signY_c2_reg/D                            |
| clk                | clk               | operator/signX_c2_reg/D                            |
| clk                | clk               | operator/expX_c2_reg[2]/D                          |
| clk                | clk               | operator/sXsYExnXY_c2_reg[2]/D                     |
| clk                | clk               | operator/excY_c2_reg[0]/D                          |
| clk                | clk               | operator/sXsYExnXY_c2_reg[3]/D                     |
| clk                | clk               | operator/fracAdder/X_8_c15_reg[2]_srl14_srlopt/D   |
| clk                | clk               | operator/newY_c2_reg[21]/D                         |
| clk                | clk               | operator/LZCAndShifter/level3_c20_reg[18]/D        |
| clk                | clk               | operator/LZCAndShifter/level3_c20_reg[25]/D        |
| clk                | clk               | operator/RightShifterComponent/ps_c3_reg[4]/D      |
| clk                | clk               | operator/LZCAndShifter/level3_c20_reg[16]/D        |
| clk                | clk               | operator/RightShifterComponent/level4_c3_reg[9]/D  |
| clk                | clk               | operator/fracYpad_c4_reg[15]/D                     |
| clk                | clk               | operator/RightShifterComponent/level4_c3_reg[1]/D  |
| clk                | clk               | operator/LZCAndShifter/level3_c20_reg[7]/D         |
| clk                | clk               | operator/fracYpad_c4_reg[9]/D                      |
| clk                | clk               | operator/LZCAndShifter/level3_c20_reg[10]/D        |
| clk                | clk               | operator/LZCAndShifter/level3_c20_reg[3]/D         |
| clk                | clk               | operator/LZCAndShifter/level3_c20_reg[15]/D        |
| clk                | clk               | operator/RightShifterComponent/stk4_c4_reg/D       |
| clk                | clk               | operator/LZCAndShifter/level3_c20_reg[23]/D        |
| clk                | clk               | operator/RightShifterComponent/level4_c3_reg[8]/D  |
| clk                | clk               | operator/RightShifterComponent/ps_c3_reg[1]/D      |
| clk                | clk               | operator/LZCAndShifter/level3_c20_reg[27]/D        |
| clk                | clk               | operator/LZCAndShifter/level3_c20_reg[20]/D        |
